03-12-17:07:04 1.70
03-12-17:07:09 1.57
03-12-17:07:14 1.44
03-12-17:07:19 1.41
03-12-17:07:24 1.29
03-12-17:07:29 1.19
03-12-17:07:34 1.09
03-12-17:07:40 1.01
03-12-17:07:45 0.93
03-12-17:07:50 0.85
03-12-17:07:55 0.78
03-12-17:08:00 0.72
03-12-17:08:05 0.66
03-12-17:08:10 0.61
03-12-17:08:15 0.56
03-12-17:08:20 0.52
03-12-17:08:25 0.55
03-12-17:08:30 0.51
03-12-17:08:35 0.47
03-12-17:08:40 0.43
03-12-17:08:45 0.40
03-12-17:08:50 0.37
03-12-17:08:56 0.34
03-12-17:09:01 0.31
03-12-17:09:06 0.44
03-12-17:09:11 0.49
03-12-17:09:16 0.53
03-12-17:09:21 0.65
03-12-17:09:26 0.68
03-12-17:09:31 0.70
03-12-17:09:36 0.73
03-12-17:09:41 0.83
03-12-17:09:46 0.84
03-12-17:09:51 0.93
03-12-17:09:56 0.94
03-12-17:10:01 0.94
03-12-17:10:06 0.95
03-12-17:10:12 1.03
03-12-17:10:17 1.03
03-12-17:10:22 1.03
03-12-17:10:27 1.03
03-12-17:10:32 1.02
03-12-17:10:37 1.02
03-12-17:10:42 1.02
03-12-17:10:47 1.02
03-12-17:10:52 1.10
03-12-17:10:57 1.09
03-12-17:11:02 1.16
03-12-17:11:07 1.47
03-12-17:11:12 1.35
03-12-17:11:17 1.24
03-12-17:11:22 1.38
03-12-17:11:28 1.67
03-12-17:11:33 1.62
03-12-17:11:38 1.89
03-12-17:11:43 2.22
03-12-17:11:48 2.60
03-12-17:11:53 3.11
03-12-17:11:58 3.18
03-12-17:12:03 3.17
03-12-17:12:08 3.16
03-12-17:12:13 4.74
03-12-17:12:18 4.84
03-12-17:12:23 4.84
03-12-17:12:28 5.06
03-12-17:12:33 4.89
03-12-17:12:38 5.30
03-12-17:12:44 4.88
03-12-17:12:49 4.49
03-12-17:12:54 4.13
03-12-17:12:59 3.80
03-12-17:13:04 3.49
03-12-17:13:09 3.21
03-12-17:13:14 3.04
03-12-17:13:19 2.79
03-12-17:13:24 2.57
03-12-17:13:29 2.36
03-12-17:13:34 2.17
03-12-17:13:39 2.00
03-12-17:13:44 1.84
03-12-17:13:49 1.85
03-12-17:13:54 1.70
03-12-17:13:59 1.57
03-12-17:14:05 1.44
03-12-17:14:10 1.33
03-12-17:14:15 1.22
03-12-17:14:20 1.12
03-12-17:14:25 1.03
03-12-17:14:30 0.95
03-12-17:14:35 0.87
03-12-17:14:40 0.80
03-12-17:14:45 0.74
03-12-17:14:50 0.76
03-12-17:14:55 0.70
03-12-17:15:00 0.72
